serum,potency
DENV2/THAILAND/2013/00662/13,0.4712117363434528
DENV3/THAILAND/2001/04045/01,0.4680209893282978
DENV3/THAILAND/2001/05611/01,0.46491130315381474
DENV3/THAILAND/2006/02485/06,0.46213230603923167
DENV4/THAILAND/2008/00274/08,0.4566284798725618
DENV4/THAILAND/2014/00555/14,0.4493696068379843
DENV3/THAILAND/2005/01491/05,0.4475625672100631
DENV3/THAILAND/2006/01067/06,0.44488805961578154
DENV3/THAILAND/2002/00536/02,0.4430831088148601
DENV4/THAILAND/1996/01626/96,0.4399142393197586
DENV4/THAILAND/2014/00595/14,0.43975795233508863
DENV3/THAILAND/2010/00075/10,0.43280590622870696
DENV4/THAILAND/2004/01369/04,0.4323611566443718
DENV1/THAILAND/2006/00418/06,0.4295930583281563
DENV4/THAILAND/2008/02023/08,0.42768259799535197
DENV1/THAILAND/1999/00380/99,0.4225561695338349
DENV4/THAILAND/2004/01544/04,0.42158130244078024
DENV1/THAILAND/2006/00555/06,0.4154811114346729
DENV3/THAILAND/1998/02434/98,0.41395298013105086
DENV3/THAILAND/2004/01393/04,0.4067919846668746
DENV3/THAILAND/2014/00654/14,0.40156412351421805
DENV4/THAILAND/2006/02190/06,0.3990703749969398
DENV2/THAILAND/2011/00220/11,0.392573950210754
DENV4/THAILAND/2008/01380/08,0.39084004277605333
DENV4/THAILAND/1994/00615/94,0.38995819606319365
DENV3/THAILAND/2001/04945/01,0.3897870661506981
DENV4/THAILAND/2013/00801/13,0.38614467472297426
DENV1/THAILAND/2006/00369/06,0.38478302396317804
DENV1/THAILAND/2005/00744/05,0.3800305168611138
DENV3/THAILAND/1996/00833/96,0.3747903980266444
DENV1/THAILAND/2000/02059/00,0.3719368191364742
DENV4/THAILAND/2006/00189/06,0.3711381114083081
DENV4/THAILAND/2004/00965/04,0.3693367343608923
DENV4/THAILAND/2014/00615/14,0.3666249663249517
DENV4/THAILAND/2005/00201/05,0.361529302790575
DENV1/THAILAND/1999/00692/99,0.3559791922635862
DENV3/THAILAND/2000/02029/00,0.3458225255006287
DENV2/THAILAND/2006/00525/06,0.3427517358098332
DENV3/THAILAND/2001/00152/01,0.34257433069534776
DENV1/THAILAND/2001/04601/01,0.3403534033695177
DENV3/THAILAND/1998/06070/98,0.33170357534629175
DENV1/THAILAND/2006/01001/06,0.3236246253169011
DENV2/THAILAND/2004/00560/04,0.320599990673154
DENV3/THAILAND/1996/01720/96,0.31911667481641987
DENV4/THAILAND/1998/06181/98,0.31825659042107324
DENV3/THAILAND/2006/00588/06,0.31361728426803753
DENV4/THAILAND/1995/01569/95,0.31303735727973603
DENV4/THAILAND/2007/01118/07,0.3070972413895428
DENV3/THAILAND/2002/00501/02,0.30695842717650196
DENV3/THAILAND/1995/00631/95,0.3012100269575661
DENV4/THAILAND/2003/02377/03,0.30079959354172936
DENV4/THAILAND/2006/00617/06,0.2881094243499838
DENV1/THAILAND/2004/00725/04,0.284583156404377
DENV4/THAILAND/2011/00369/11,0.28418616229910226
DENV4/THAILAND/2007/01993/07,0.2794040957999139
DENV4/THAILAND/2003/02207/03,0.2684127369186673
DENV1/THAILAND/2004/00477/04,0.26803604748777393
DENV3/THAILAND/1998/04187/98,0.2552950823918534
DENV1/THAILAND/2006/00411/06,0.24409910012011207
DENV2/THAILAND/1996/01309/96,0.24118863249753208
DENV3/THAILAND/2012/01106/12,0.23187557774864936
DENV3/THAILAND/2013/00065/13,0.2236915704039279
DENV4/THAILAND/2008/01387/08,0.22273819083619215
